Modelo,Clase,F1-Score,Precision,Recall,Support
Random Forest,anger,0.5492817583939079,0.5226861001317523,0.5787290299051787,21936
Random Forest,fear,0.22737891294190937,0.9102244389027432,0.12991635522334935,5619
Random Forest,joy,0.6050001857424124,0.627092103912106,0.5844118561756896,41801
Random Forest,love,0.31452054794520545,0.6725248974809608,0.20525657071339173,5593
Random Forest,sadness,0.611290031690413,0.5465435027988298,0.6934385503434166,34215
XGBoost,anger,0.5496304222895984,0.4861359413888597,0.6322027716994895,21936
XGBoost,fear,0.2818187004392721,0.2073887489504618,0.4395799964406478,5619
XGBoost,joy,0.517502393489708,0.690581706391983,0.41379392837491924,41801
XGBoost,love,0.29775901919405084,0.2070724718708505,0.5297693545503308,5593
XGBoost,sadness,0.5651558519170886,0.6117598992203194,0.5251497881046324,34215
